BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA633940	SRR11814802	SAMN14917495	NA	seed	late grain filling stage	Baigu6 45.62 N 122.84 E	RNA_B383	NA	cultivar:Baigu6_45.62_N_122.84_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814803	SAMN14917494	NA	seed	late grain filling stage	Gongai4 43.89 N 125.32 E	RNA_B382	NA	cultivar:Gongai4_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814804	SAMN14917493	NA	seed	late grain filling stage	Gongai3 43.89 N 125.32 E	RNA_B381	NA	cultivar:Gongai3_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814805	SAMN14917492	NA	seed	late grain filling stage	Gonggu75 43.89 N 125.32 E	RNA_B380	NA	cultivar:Gonggu75_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814806	SAMN14917491	NA	seed	late grain filling stage	Gonggu74 43.89 N 125.32 E	RNA_B379	NA	cultivar:Gonggu74_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814807	SAMN14917490	NA	seed	late grain filling stage	Gonggu73 43.89 N 125.32 E	RNA_B378	NA	cultivar:Gonggu73_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814808	SAMN14917274	NA	seed	late grain filling stage	Eminguzi 40.87 N 85.08 E	RNA_B078	NA	cultivar:Eminguzi_40.87_N_85.08_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814809	SAMN14917273	NA	seed	late grain filling stage	170 36.67 N 117.01 E	RNA_B076	NA	cultivar:170_36.67_N_117.01_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814810	SAMN14917272	NA	seed	late grain filling stage	Jinpingguzi 37.81 N 120.74 E	RNA_B075	NA	cultivar:Jinpingguzi_37.81_N_120.74_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814811	SAMN14917271	NA	seed	late grain filling stage	Yintianhan 36.97 N 117.21 E	RNA_B074	NA	cultivar:Yintianhan_36.97_N_117.21_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814812	SAMN14917270	NA	seed	late grain filling stage	Qianchuanzi 37.19 N 116.86 E	RNA_B073	NA	cultivar:Qianchuanzi_37.19_N_116.86_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814813	SAMN14917269	NA	seed	late grain filling stage	Zigenhong 37.44 N 114.50 E	RNA_B071	NA	cultivar:Zigenhong_37.44_N_114.50_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814814	SAMN14917268	NA	seed	late grain filling stage	Shiliuzi 38.41 N 115.32 E	RNA_B070	NA	cultivar:Shiliuzi_38.41_N_115.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814815	SAMN14917223	NA	seed	late grain filling stage	Daobaqi 49.17 N 125.21 E	RNA_B008	NA	cultivar:Daobaqi_49.17_N_125.21_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814816	SAMN14917259	NA	seed	late grain filling stage	Xiaojigou 34.11 N 113.60 E	RNA_B058	NA	cultivar:Xiaojigou_34.11_N_113.60_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814817	SAMN14917258	NA	seed	late grain filling stage	Qiangbiansui 34.90 N 112.78 E	RNA_B057	NA	cultivar:Qiangbiansui_34.90_N_112.78_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814818	SAMN14917222	NA	seed	late grain filling stage	Hongniangu 48.51 N 126.19 E	RNA_B007	NA	cultivar:Hongniangu_48.51_N_126.19_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814819	SAMN14917257	NA	seed	late grain filling stage	Qiumaoyu 36.10 N 114.35 E	RNA_B056	NA	cultivar:Qiumaoyu_36.10_N_114.35_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814820	SAMN14917256	NA	seed	late grain filling stage	Shengtouhuanggu 35.67 N 114.54 E	RNA_B055	NA	cultivar:Shengtouhuanggu_35.67_N_114.54_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814821	SAMN14917255	NA	seed	late grain filling stage	Xiaozigen 37.63 N 116.38 E	RNA_B054	NA	cultivar:Xiaozigen_37.63_N_116.38_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814822	SAMN14917254	NA	seed	late grain filling stage	Xiaojinjun 37.89 N 116.53 E	RNA_B053	NA	cultivar:Xiaojinjun_37.89_N_116.53_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
